Date,SP500,HKHSI,Nikkei225
3/29/2019,0.006711706,0.009550991,0.008146472
4/1/2019,0.011502195,0.017425137,0.014197588
4/2/2019,1.75E-05,0.002117044,-0.000172907
4/3/2019,0.002146072,0.012136175,0.009620967
4/4/2019,0.002082466,-0.001671163,0.000540459
4/8/2019,0.001046912,0.004693291,-0.002104683
4/9/2019,-0.006085977,0.002667564,0.001879499
4/10/2019,0.003471838,-0.001258512,-0.005289463
4/11/2019,3.81E-05,-0.009343495,0.001097287
4/12/2019,0.006587578,0.002353523,0.007304879
4/15/2019,-0.000629567,-0.003316757,0.013558385
4/16/2019,0.000509229,0.010648926,0.002367646
4/17/2019,-0.002276401,-0.000172251,0.002530833
4/18/2019,0.001577847,-0.005372802,-0.008467919
4/23/2019,0.008802351,-6.52E-07,0.001881388
4/24/2019,-0.002194169,-0.00526729,-0.002687387
4/25/2019,-0.000369042,-0.008627013,0.004834246
4/26/2019,0.00467435,0.001866594,-0.002192222
5/7/2019,-0.016649488,0.005231079,-0.015165125
5/8/2019,-0.001606715,-0.012329902,-0.01475598
5/9/2019,-0.003025999,-0.024153237,-0.009322718
5/10/2019,0.003713394,0.008412445,-0.002676721
5/14/2019,0.007983988,-0.015112468,-0.005870968
5/15/2019,0.005821994,0.00520269,0.005742664
5/16/2019,0.008855957,0.000224936,-0.00594442
5/17/2019,-0.005854437,-0.011689938,0.008844104
5/20/2019,-0.006772258,-0.005700355,0.002427189
5/21/2019,0.008459949,-0.004702669,-0.001375541
5/22/2019,-0.002828392,0.001759264,0.000513205
5/23/2019,-0.011985692,-0.015964832,-0.006232142
5/24/2019,0.001352644,0.003178221,-0.00160498
5/28/2019,-0.00841095,0.003757238,0.003654838
5/29/2019,-0.00693591,-0.005678561,-0.012151127
5/30/2019,0.002096272,-0.004446328,-0.002900874
5/31/2019,-0.013283205,-0.007915886,-0.016433171
6/3/2019,-0.002769071,-0.000268816,-0.00928068
6/4/2019,0.021205927,-0.004932967,-0.000114739
6/5/2019,0.008128727,0.004991718,0.017849874
6/6/2019,0.006116841,0.002593351,-9.92E-05
